                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.83619,                0.76181,                 1.2444,                0.77122,                0.37085,                 0.2921,                0.10334,                 2.2696,                 2.3302,                 2.6693,              0.0012663,              0.0012663,              0.0012663
                    118,                0.82261,                0.79568,                 1.2524,                0.79034,                   0.25,                0.28802,                0.11359,                 2.3189,                  2.067,                 3.0013,              0.0012649,              0.0012649,              0.0012649
                    119,                0.88219,                0.79375,                 1.2884,                0.76209,                 0.4143,                0.27766,                0.12691,                 2.2637,                 2.1696,                 3.0703,              0.0012635,              0.0012635,              0.0012635
                    120,                0.91599,                0.79557,                 1.2841,                0.74004,                  0.375,                0.27742,                0.12928,                 2.2229,                 2.2635,                 2.9146,              0.0012621,              0.0012621,              0.0012621
                    121,                0.88098,                0.80417,                 1.3422,                0.79507,                  0.375,                0.30628,                0.13587,                 2.1474,                 1.9938,                 2.8897,              0.0012606,              0.0012606,              0.0012606
                    122,                0.88859,                 0.8321,                 1.2813,                0.74222,                  0.375,                0.29352,                0.12195,                  2.375,                 1.8707,                 3.1965,              0.0012592,              0.0012592,              0.0012592
                    123,                0.89006,                0.80724,                  1.301,                0.80277,                 0.3125,                0.25607,                0.10577,                 2.5017,                 2.0153,                 3.3329,              0.0012578,              0.0012578,              0.0012578
                    124,                0.81401,                0.73117,                  1.257,                0.47677,                 0.0625,                0.09635,                 0.0531,                 2.9078,                 3.0508,                 3.1253,              0.0012564,              0.0012564,              0.0012564
                    125,                0.83931,                0.79699,                 1.2257,                0.45754,                 0.0625,                0.07585,                0.05525,                 3.0829,                 3.2307,                 3.3435,               0.001255,               0.001255,               0.001255
                    126,                0.79388,                0.67005,                 1.2108,                0.95262,                 0.0625,                0.09478,                0.06877,                 2.8664,                 2.8916,                 3.3764,              0.0012536,              0.0012536,              0.0012536
                    127,                0.83683,                0.74325,                 1.2643,                0.61621,                0.36005,                0.16088,                0.09426,                 2.2348,                 2.6928,                 2.8788,              0.0012522,              0.0012522,              0.0012522
                    128,                 0.8456,                0.75876,                 1.2876,                0.77666,                0.23415,                0.20668,                 0.0983,                 2.1387,                   2.52,                 2.8664,              0.0012507,              0.0012507,              0.0012507
